simulator,sim_method,single_qubit_noise_prob,two_qubit_noise_prob,num_qubits,graph_density,p,problem_idx,expectation,elapsed_time,sample
pauli-z-noise,deterministic,0.005,0.005,5,0.5,3,2,-3.595703125,18.418662071228027,0
pauli-z-noise,deterministic,0.025,0.025,5,0.5,3,2,-3.302734375,18.95833158493042,0
pauli-y-noise,deterministic,0.025,0.025,5,0.5,3,2,-2.734375,21.000874280929565,0
pauli-y-noise,deterministic,0.02,0.02,5,0.5,3,2,-2.96875,21.518691539764404,0
pauli-x-noise,deterministic,0.025,0.025,5,0.5,3,2,-2.755859375,21.553569078445435,0
depolarizing-noise,deterministic,0.02,0.02,5,0.5,3,2,-3.185546875,19.726650953292847,0
pauli-x-noise,deterministic,0.02,0.02,5,0.5,3,2,-3.294921875,22.01168966293335,0
pauli-z-noise,deterministic,0.015,0.015,5,0.5,3,2,-3.392578125,21.4211745262146,0
depolarizing-noise,deterministic,0.015,0.015,5,0.5,3,2,-3.34375,20.26023578643799,0
depolarizing-noise,deterministic,0.005,0.005,5,0.5,3,2,-3.716796875,22.405998706817627,0
pauli-z-noise,deterministic,0.02,0.02,5,0.5,3,2,-3.322265625,23.390477895736694,0
pauli-y-noise,deterministic,0.005,0.005,5,0.5,3,2,-3.537109375,24.14527940750122,0
depolarizing-noise,deterministic,0.025,0.025,5,0.5,3,2,-3.14453125,27.26529574394226,0
pauli-x-noise,deterministic,0.0,0.0,5,0.5,4,2,-3.763671875,47.550313234329224,0
pauli-z-noise,deterministic,0.0,0.0,5,0.5,4,2,-3.787109375,48.06939458847046,0
pauli-y-noise,deterministic,0.0,0.0,5,0.5,4,2,-3.669921875,49.77661108970642,0
depolarizing-noise,deterministic,0.0,0.0,5,0.5,4,2,-3.7109375,53.832345724105835,0
pauli-z-noise,deterministic,0.005,0.005,5,0.5,4,2,-3.560546875,61.35594725608826,0
pauli-y-noise,deterministic,0.025,0.025,5,0.5,4,2,-2.673828125,61.537073850631714,0
depolarizing-noise,deterministic,0.02,0.02,5,0.5,4,2,-3.205078125,61.93858814239502,0
pauli-y-noise,deterministic,0.02,0.02,5,0.5,4,2,-2.7890625,63.56559109687805,0
pauli-x-noise,deterministic,0.02,0.02,5,0.5,4,2,-3.001953125,63.921305656433105,0
pauli-z-noise,deterministic,0.025,0.025,5,0.5,4,2,-3.33203125,71.27014708518982,0
pauli-z-noise,deterministic,0.015,0.015,5,0.5,4,2,-3.421875,69.41796350479126,0
depolarizing-noise,deterministic,0.015,0.015,5,0.5,4,2,-3.265625,70.02823114395142,0
